Company,Business Entity Name,Domain,Website,Location,Contact,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size,Founded Year,Status,Bank Ruptcy Status,Tagline,Verification
ChopDawg.com,"ChopDawg Studios, Inc",Mobile	App Development,https://www.chopdawg.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Philadelphia, PA",(800) 490-1476,4.9,63 reviews,$100 - $149 / hr,"$25,000+",10 - 49,2009,Active,No,"Think Partner, Not Agency. Let's Make It App'n® 🐾",GOLD VERIFIED
Infinum,Infinum Inc.,Mobile	App Development,https://infinum.com/clutch-lp/?utm_source=clutch.co&utm_medium=referral,"New York City, NY",+1 (917) 838-2194,4.8,39 reviews,$100 - $149 / hr,"$25,000+",50 - 249,2005,Active,No,Digital products that solve real-life problems,GOLD VERIFIED
Utility,Utility NYC LLC,Mobile	App Development,https://utilitynyc.com/?utm_source=clutch.co&utm_medium=referral,"New York, NY",(212) 328-1167,4.8,25 reviews,$100 - $149 / hr,"$50,000+",50 - 249,2013,Active,No,AWARD-WINNING MOBILE DESIGN & DEVELOPMENT AGENCY,GOLD VERIFIED
Michigan Software Labs,Michigan Software Labs LLC,Mobile	App Development,http://michiganlabs.com/?utm_source=clutch&utm_medium=referral,"Ada, MI",6165940269,4.9,8 reviews,$150 - $199 / hr,"$25,000+",10 - 49,2010,Active,No,We Make Apps - #1 Android & iPhone App Development,SILVER VERIFIED
Konstant Infosolutions,Konstant Infosolutions Private Limited,Mobile	App Development,https://www.konstantinfo.com/?request-a-quote&utm_source=clutch.co&utm_medium=referral&utm_campaign=Clutch,"Jaipur, India",+1-310-933-5465,4.8,122 reviews,< $25 / hr,"$5,000+",50 - 249,2003,Active,,Providing Strategic Digital Solutions,GOLD VERIFIED
3 SIDED CUBE,3 SIDED CUBE DESIGN LTD,Mobile	App Development,https://3sidedcube.com/contact/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Bournemouth, United Kingdom",+44 (0)1202 611 612,4.9,36 reviews,$100 - $149 / hr,"$50,000+",10 - 49,2009,Active,,Technology For Good - Global App Developer,GOLD VERIFIED
Dedicated Developers,"Scientific Business Solutions, LLC",Mobile	App Development,https://dedicateddevelopers.com/?utm_campaign=Review+Sites&utm_source=Clutch&utm_medium=Main+Profile,"Alpharetta, GA",(770) 274-4482,5.0,34 reviews,$50 - $99 / hr,"$25,000+",10 - 49,2007,Active,No,Top Rated Mobile App and Web Development Company,GOLD VERIFIED
CitrusBits,CitrusBits Inc.,Mobile	App Development,https://citrusbits.com/?utm_source=clutch&utm_medium=profile&utm_campaign=clutch-weblink,"Los Angeles, CA",925-452-6012,5.0,31 reviews,$100 - $149 / hr,"$25,000+",10 - 49,2005,Active,No,"Mobile app strategy, design, and development",GOLD VERIFIED
Wolfpack Digital,Wolfpack Digital SRL,Mobile	App Development,https://wolfpack-digital.com/?utm_source=clutch,"Cluj-Napoca, Romania",+40752821508,5.0,38 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2015,Active,,Powerful web and mobile apps. Start-to-End,GOLD VERIFIED
mTraction Enterprise,Affle India Ltd.,Mobile	App Development,https://enterprise.affle.com/mobile-app-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Singapore,+6589087518,4.7,43 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2005,,,Reinventing 360° Digital Transformation,BRONZE VERIFIED
RV Technologies,RV Technologies Softwares Private Limited,Mobile	App Development,https://rvtechnologies.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Sahibzada Ajit Singh Nagar, India",+919876429881,4.8,52 reviews,< $25 / hr,"$1,000+",50 - 249,2007,Active,,Your Trusted App Development Partner!,GOLD VERIFIED
ROCKETECH,ROCKETECH PTE. LTD.,Mobile	App Development,https://rocketech.it/?utm_source=clutch&utm_medium=profile,"Singapore, Singapore",+6531593765,4.9,30 reviews,$25 - $49 / hr,"$5,000+",50 - 249,2015,Active,,Agile Consulting & Complex Software Development,GOLD VERIFIED
Radiansys Inc,Radiansys Inc,Mobile	App Development,http://www.radiansys.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Gurugram, India",9899320307,5.0,12 reviews,< $25 / hr,"$10,000+",50 - 249,2007,Active,No,SAN FRANCISCO | NEW DELHI -MOBILE APP & FULL STACK,GOLD VERIFIED
Xmartlabs,Xmartlabs S.R.L.,Mobile	App Development,https://xmartlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Montevideo, Uruguay",+1 628-400-0142,5.0,25 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2012,Active,,Technical expertise for great products,GOLD VERIFIED
MindSea,MINDSEA DEVELOPMENT INCORPORATED,Mobile	App Development,http://www.mindsea.com/?utm_source=clutch&utm_medium=referral,"Halifax, Canada",1 888 3905150,5.0,24 reviews,$150 - $199 / hr,"$10,000+",10 - 49,2007,Active,,Health & Wellness App Design & Development,GOLD VERIFIED
OTAKOYI,LLC OTAKOYI,Mobile	App Development,https://otakoyi.com/?utm_source=clutch.co&utm_medium=referral,"L'viv, Ukraine",380985638190,4.8,32 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2011,Active,,UX/UI & Custom Software Development Company,BRONZE VERIFIED
Halcyon Mobile,Halcyon Mobile SRL,Mobile	App Development,https://halcyonmobile.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"New York, NY",+1 650 924 9023,4.9,24 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2005,Active,,Award-winning full-service mobile agency,GOLD VERIFIED
3Advance,"3ADVANCE, LLC",Mobile	App Development,https://3advance.com/?utm_campaign=clutch&utm_source=clutch&utm_medium=referral&utm_content=clutch%20profile,"Washington, DC",2027093238,5.0,18 reviews,$100 - $149 / hr,"$25,000+",10 - 49,2010,Active,No,"Web, Mobile & web3 Apps for Startups  🇺🇸",GOLD VERIFIED
Zazz,"Zazz, Inc.",Mobile	App Development,https://www.zazz.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Seattle, WA",1800-315-8144,5.0,12 reviews,$50 - $99 / hr,"$25,000+",10 - 49,2011,Active,No,Possibilities Re-imagined,SILVER VERIFIED
Glance,Glance Creative Ltd,Mobile	App Development,https://thisisglance.com/top-mobile-app-development-company-on-clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"London, United Kingdom",020 3026 4435,4.8,12 reviews,$100 - $149 / hr,"$75,000+",10 - 49,2016,Active,,We're award-winning app developers.,BRONZE VERIFIED
Andersen Inc.,AndersenLab Limited Liability Company,Mobile	App Development,https://andersenlab.com?utm_source=clutch&utm_medium=buttom,"New York, NY",+1-800-967-7762,4.9,94 reviews,$25 - $49 / hr,"$10,000+","1,000 - 9,999",2007,Active,No,Software Solutions to Transform your Business,GOLD VERIFIED
mDevelopers,mobile management spółka z o.o,Mobile	App Development,https://mdevelopers.com/?utm_source=clutch&utm_medium=refferal&utm_campaign=aggregators-main&utm_content=,"Warszawa, Poland",+48 502-383-053,5.0,10 reviews,$25 - $49 / hr,"$25,000+",10 - 49,2010,Active,,Developing the future!,BRONZE VERIFIED
Interexy,"Interexy, LLC",Mobile	App Development,http://interexy.com/?utm_source=clutch.co&utm_campaign=directory,"Lauderdale-by-the-Sea, FL",239 719 2347,5.0,25 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2017,Active,No,A Web3 Blockchain Consulting & Augmentation Agency,GOLD VERIFIED
Blue Whale Apps,,Mobile	App Development,http://www.bluewhaleapps.com/?utm_source=sourcingline&utm_medium=cpc&utm_campaign=SL,"Herndon, VA",571-294-6158,5.0,17 reviews,$100 - $149 / hr,"$50,000+",10 - 49,2006,,,Creating Apps Since the App Store Started,
Tapston,"Drustvo Sa Ogranicenom Odgovornoscu ""Tapston"" Budva",Mobile	App Development,https://tapston.com/?utm_source=clutch.co&utm_medium=referral,"Budva, Montenegro",+375296547303,5.0,22 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2017,Active,,Full Cycle Software Development Company,SILVER VERIFIED
Small Planet,"Small Planet Digital, LLC",Mobile	App Development,http://smallplanet.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"New York, NY",718-797-5659,4.8,12 reviews,$100 - $149 / hr,"$100,000+",10 - 49,2009,Active,No,Inspired apps and websites for global brands.,GOLD VERIFIED
Camber Creative,Panhandle and Peninsula Partners LLC,Mobile	App Development,https://www.cmbr.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Orlando, FL",4075880702,4.9,16 reviews,$100 - $149 / hr,"$25,000+",10 - 49,2014,Active,No,Digital product agency putting principles first.,GOLD VERIFIED
Clarika,Clarika SA,Mobile	App Development,https://www.clarikagroup.com/?utm_source=clutch.co&utm_medium=referral,"New York, NY",(646) 443-6740,4.8,14 reviews,$25 - $49 / hr,"$10,000+",50 - 249,2007,Active,,Agile Software Development Teams,BRONZE VERIFIED
hedgehog lab,Hedgehog Lab Limited,Mobile	App Development,http://hedgehoglab.com?utm_medium=referal&utm_source=https://clutch.co/,"London, United Kingdom",01912498039,4.7,46 reviews,$100 - $149 / hr,"$75,000+",50 - 249,2007,Active,,Helping global brands harness the power of mobile,SILVER VERIFIED
NineTwoThree Venture Studio,"923 Digital, LLC",Mobile	App Development,http://www.ninetwothree.co/?utm_source=clutch.co&utm_medium=referral,"Danvers, MA",5406923923,4.8,16 reviews,$50 - $99 / hr,"$100,000+",50 - 249,2013,Active,,Custom products for funded startups & tech brands,BRONZE VERIFIED
Zco,ZCO CORPORATION,Mobile	App Development,https://www.zco.com/?utm_source=clutch.co&utm_medium=referral,"Nashua, NH",6038819200,4.7,49 reviews,$25 - $49 / hr,"$10,000+",250 - 999,1989,Active,No,A Veteran Custom Software Developer,GOLD VERIFIED
Lampa Software,Lampa Software LLC,Mobile	App Development,https://lampalampa.net/en/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Vinnytsia, Ukraine",+380638735067,4.9,18 reviews,$25 - $49 / hr,"$10,000+",50 - 249,2014,Active,,Lampa is a comfy software development 💙💛,BRONZE VERIFIED
Magora Systems,Magora Limited,Mobile	App Development,https://www.magora-systems.com/?utm_source=clutch.co&utm_medium=referral,"London, United Kingdom",+442071835820,4.7,56 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2010,Active,,"WE THINK BUSINESS, THEN DEVELOPMENT.",GOLD VERIFIED
Promatics Technologies,Promatics Technologies Private Limited,Mobile	App Development,http://www.promaticsindia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Gurugram, India",+91-788-8492652,4.9,38 reviews,< $25 / hr,"$10,000+",50 - 249,2008,Active,,Web & Mobile App Development Company,GOLD VERIFIED
Eleviant Tech,"Eleviant Technologies, Inc.",Mobile	App Development,https://www.eleviant.com?utm_source=clutch.co&utm_medium=referral,"Richardson, TX",9723468186,4.7,17 reviews,$25 - $49 / hr,"$25,000+",250 - 999,2004,Active,No,Our Mission is to Elevate & Scale your Business,GOLD VERIFIED
Mutual Mobile,"Mutual Mobile, Inc.",Mobile	App Development,https://mutualmobile.com/?utm_source=clutch.co&utm_medium=referral,"Austin, TX",512-615-1800,4.9,14 reviews,$150 - $199 / hr,"$25,000+",50 - 249,2009,Active,No,"End-to-end app development, strategy, and design.",SILVER VERIFIED
AppTailors,AppTailors Sp. z o.o.,Mobile	App Development,https://apptailors.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Poznań, Poland",+48690628779,5.0,6 reviews,$50 - $99 / hr,"$10,000+",10 - 49,2018,Active,,Your tailor made software.,SILVER VERIFIED
Ajath,Ajath Infotech Private Limited,Mobile	App Development,http://www.ajath.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"دبي, United Arab Emirates",+971504313932,5.0,29 reviews,$25 - $49 / hr,"$10,000+",50 - 249,2018,Active,,#1 Mobile App Development Company,SILVER VERIFIED
Moove It,MOOVE-IT S.A.,Mobile	App Development,https://moove-it.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Austin, TX",(512) 949-8991,4.8,23 reviews,$50 - $99 / hr,"$100,000+",50 - 249,2006,Active,No,Developing Impact.,GOLD VERIFIED
Steelkiwi,Steelkiwi Inc.,Mobile	App Development,https://steelkiwi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Belmont, CA",+1 415-449-8696,4.8,58 reviews,$25 - $49 / hr,"$50,000+",50 - 249,2011,Active,,Software development services with a high standard,BRONZE VERIFIED
Plathanus,Plathanus LTDA,Mobile	App Development,http://www.plathanus.com.br,"Palhoça, Brazil",554833748922,5.0,17 reviews,$50 - $99 / hr,"$25,000+",10 - 49,2010,Active,,We Craft Web & Mobile App Design and Development,GOLD VERIFIED
Onetree,"21Studio Consulting Group, LLC",Mobile	App Development,http://www.onetree.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Montevideo, Uruguay",(347) 474 0023,4.7,11 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2009,Active,No,Love to create beautiful interactive solutions.,GOLD VERIFIED
Clover Studio,STUDIO DJETELINA d.o.o.,Mobile	App Development,https://clover.studio/?utm_source=clutch.co&utm_medium=referral,"Zagreb, Croatia",385.1.375.5381,5.0,11 reviews,$25 - $49 / hr,"$5,000+",10 - 49,2008,Active,,Developing products to skyrocket your business!,GOLD VERIFIED
Mtoag Technologies,Mtoag Technologies,Mobile	App Development,http://www.mtoag.com/,"New Jersey, NJ",+ 1 (856) 272-1112,4.9,10 reviews,$25 - $49 / hr,"$5,000+",50 - 249,2009,Active,,Moving Technology On A Go,BRONZE VERIFIED
Origami Studios,Origami Studios Limited Liability Company,Mobile	App Development,https://origamistudios.us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Parsippany-Troy Hills, NJ",(888) 405-8645,4.9,32 reviews,$25 - $49 / hr,"$5,000+",10 - 49,2013,Active,No,Mobile | Web | AI | Custom App Development Company,GOLD VERIFIED
Uptech,"UPTECH TEAM, INC.",Mobile	App Development,https://www.uptech.team/?utm_source=clutch.co&utm_medium=referral,"Gdynia, Poland",+48571267045,4.9,33 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2016,Active,No,Apps for bold ideas ✌️ Mobile & Web Development,GOLD VERIFIED
Enozom Software,Enozom Software,Mobile	App Development,https://enozom.com,"Alexandria, Egypt",+203 5866344,4.9,21 reviews,$25 - $49 / hr,"$50,000+",10 - 49,2012,Active,,Web & Mobile App Software Development,GOLD VERIFIED
Yugasa Software Labs,Yugasa Software Labs Private Limited,Mobile	App Development,https://www.yugasa.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Gurugram, India",91 8800522257,4.8,20 reviews,< $25 / hr,"$10,000+",50 - 249,2015,Active,,Mobile & Web app Developers for startups and SMEs,BRONZE VERIFIED
GeekyAnts,GeekyAnts India Private Limited,Mobile	App Development,https://geekyants.com/?utm_source=clutch&utm_medium=referral&utm_campaign=sponsorship,"San Francisco, CA",+1(415)2759099,4.8,54 reviews,$25 - $49 / hr,"$5,000+",250 - 999,2006,Active,,Research. Collaborate. Build,GOLD VERIFIED
ITMAGINATION,ITMAGINATION Sp. z o.o.,Mobile	App Development,https://www.itmagination.com/clients?utm_source=clutch.co&utm_medium=referral&utm_campaign=clutch,"Warszawa, Poland",0048226544060,4.6,8 reviews,$50 - $99 / hr,"$25,000+",250 - 999,2008,Active,,Cutting-Edge Software For Startups & Enterprises,SILVER VERIFIED
Big Nerd Ranch,BIG NERD RANCH LLC (DE),Mobile	App Development,https://www.bignerdranch.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Atlanta, GA",770 - 817 - 6373,4.9,5 reviews,$150 - $199 / hr,"$100,000+",250 - 999,2001,Active,No,"We teach, design, & build digital products",SILVER VERIFIED
InApps Technology,InApps Company Limited,Mobile	App Development,https://www.inapps.net/?utm_source=clutch&utm_medium=topclutch&utm_campaign=click_from_clutch,"Ho Chi Minh, Vietnam",84906330450,4.8,16 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2016,Active,,Top #1 of ranking on Clutch and trusted by clients,BRONZE VERIFIED
You are launched,FORTUNA IVAN PAVLOVYCH,Mobile	App Development,https://www.urlaunched.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Dnipro, Ukraine",+380939715523,5.0,30 reviews,$50 - $99 / hr,"$10,000+",10 - 49,2016,Active,,Launching Startups 🚀 that get Success Stories ⭐️,BRONZE VERIFIED
Calibrate Software,Calibrate Consulting LLC,Mobile	App Development,https://calibrated.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Chicago, IL",773-282-2073,4.9,16 reviews,$50 - $99 / hr,"$25,000+",10 - 49,2017,Active,No,We craft digital experiences that spark joy,GOLD VERIFIED
AppUnite,Wojtaszek & Co Investments Sp. z o.o.,Mobile	App Development,https://appunite.com/?utm_source=clutch.co&utm_medium=referral,"Poznań, Poland",+48 532 568 641,4.9,12 reviews,$50 - $99 / hr,"$50,000+",50 - 249,2010,Active,,The Software Dev Team You've Been Looking For,GOLD VERIFIED
ThinkUp,GARFORTIN S.A,Mobile	App Development,http://thinkupsoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Montevideo, Uruguay",45622769,5.0,11 reviews,$50 - $99 / hr,"$10,000+",10 - 49,2016,Active,,Your perfect mobile app development partner,BRONZE VERIFIED
Nickelfox,Nickelfox Technologies Private Limited,Mobile	App Development,http://www.nickelfox.com/?utm_source=clutch.co&utm_medium=referral,"Noida, India",+91 9810606957,4.9,23 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2014,Active,,Software development and design services,GOLD VERIFIED
Horus,Horus S.R.L.,Mobile	App Development,https://horus.com.uy,"Montevideo, Uruguay",+59893768792,5.0,5 reviews,$50 - $99 / hr,"$10,000+",2 - 9,2018,Active,,Mobile Development Studio,BRONZE VERIFIED
Heveloon ltd,Heveloon Ltd,Mobile	App Development,https://www.heveloon.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"London, United Kingdom",+447377168986,5.0,3 reviews,$50 - $99 / hr,"$5,000+",10 - 49,2018,Active,,App developer | blockchain dapp | nft | ico | DeFi,BRONZE VERIFIED
SoftwareHut,SoftwareHut Sp. z o.o.,Mobile	App Development,http://www.softwarehut.com/?utm_source=clutch.co&utm_medium=referral,"Białystok, Poland",+48 693 420 078,4.8,25 reviews,$25 - $49 / hr,"$5,000+",250 - 999,2015,Active,,SoftwareHut - Your Bespoke Development Company,GOLD VERIFIED
Tooploox,Tooploox Sp. z o. o.,Mobile	App Development,https://www.tooploox.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Wrocław, Poland",0048733888088,4.9,25 reviews,$100 - $149 / hr,"$25,000+",50 - 249,2012,Active,,We Build Digital Products For Your Success,GOLD VERIFIED
Ars Futura,Ars Futura d.o.o.,Mobile	App Development,https://arsfutura.com/?utm_source=clutch.co&utm_medium=referral,"Zagreb, Croatia",+380000000000,5.0,13 reviews,$50 - $99 / hr,"$25,000+",10 - 49,2013,Active,,Design-driven agency building mobile and web apps.,GOLD VERIFIED
iteo,iteo sp.z o.o.,Mobile	App Development,https://iteo.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Katowice, Poland",+48 (32) 700 38 80,4.8,20 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2011,Active,,Expect more from software.,GOLD VERIFIED
Altar.io,"Altario Technologies, S.A.",Software Development,https://altar.io,"Lisboa, Portugal",+351919359369,5.0,20 reviews,$50 - $99 / hr,"$25,000+",10 - 49,2015,Active,,Product & Software Development Agency,GOLD VERIFIED
The Software House,The Software House Sp.z.o.o,Software Development,https://tsh.io/?utm_source=clutch&utm_medium=referral&utm_campaign=software_development&utm_content=profile-button,"Gliwice, Poland",+48 12 394 5645,4.8,54 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2012,Active,,Development partner for technology-first companies,GOLD VERIFIED
10Pearls,"TenPearls, LLC",Software Development,http://www.10pearls.com/?utm_source=clutch.co&utm_medium=referral,"Washington, DC",(703) 935-1919,4.9,29 reviews,$25 - $49 / hr,"$50,000+","1,000 - 9,999",2004,Active,No,We Build Innovative Mobile & Digital Products,GOLD VERIFIED
Fingent,"FINGENT, CORP.",Software Development,https://www.fingent.com/custom-software-development/?utm_source=clutch&utm_medium=diamondsponsorship&utm_campaign=website,"White Plains, NY",9146159170,4.9,48 reviews,$25 - $49 / hr,"$25,000+",250 - 999,2003,Active,No,"Award Winning Enterprise Software, Web & Mobile",GOLD VERIFIED
INOXOFT,INOXOFT LLC,Software Development,https://inoxoft.com/clutch-professional-outsorcing-development/?utm_source=clutch.co&utm_medium=referral,"L'viv, Ukraine",+380976606609,4.9,40 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2014,Active,,Responsible. Responsive. On Time.,GOLD VERIFIED
BairesDev,BAIRESDEV LLC,Software Development,https://www.bairesdev.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"San Francisco, CA",1 (408) 478-2739,4.9,45 reviews,$50 - $99 / hr,"$50,000+","1,000 - 9,999",2009,Active,,Powered by Technology. Driven by Talent.,GOLD VERIFIED
Experion Technologies,Experion Technologies USA Inc.,Software Development,https://www.experionglobal.com/?utm_source=clutch&utm_medium=profile&utm_campaign=2020,"Plano, TX",2149838181,4.9,50 reviews,$25 - $49 / hr,"$25,000+","1,000 - 9,999",2006,Active,No,"We build trust, not just software.",GOLD VERIFIED
Sidebench,SIDEBENCH STUDIOS LLC,Software Development,https://sidebench.com/?utm_source=clutch.co&utm_medium=referral,"Santa Monica, CA",310-893-3589,4.9,42 reviews,$150 - $199 / hr,"$50,000+",50 - 249,2012,Active,No,"Top Product, Technology, & Venture Design Firm",GOLD VERIFIED
MobiDev,MobiDev Corporation,Software Development,https://mobidev.biz?utm_source=clutch&utm_medium=profile,"Norcross, GA",+18883800276,5.0,13 reviews,$50 - $99 / hr,"$10,000+",250 - 999,2009,Active,No,Web and Mobile development. AI apps 🚀,BRONZE VERIFIED
Boldare,XSolve sp. z o.o.,Software Development,https://go.boldare.com/services/,"Gliwice, Poland",+1 (315) 636-0092,4.7,48 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2004,Active,,Digital product design and development company,GOLD VERIFIED
